iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-05410,110615,Malago Mangyan School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.465319,120.941429,mimaropa_orientalmindoro,26.336308,28.23,12,4.841475,TRUE,isolation_forest_outlier,isolation_forest
2026-13074,105726,San Mauricio Elementary School,REGION III,SAN JOSE CITY,SAN JOSE CITY WEST,2ND DISTRICT,15.6877,120.97083,regioniii_sanjose,12.392826,100,3,4.967426,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-44185,130399,Tulunan Central Elementary Schools ,REGION XII,NORTH COTABATO,TULUNAN NORTH,3RD DISTRICT,12.445803,121.442705,regionxii_northcotabato,724.805788,99.74,0,59.457992,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07402,136783,T. S. Cruz Elementary School,NCR,LAS PIÃ‘AS CITY,LAS PIÃ‘AS CITY II,LONE DISTRICT,14.4185042,121.017844,ncr_laspias,7.6461,97.5,19,4.197255,TRUE,isolation_forest_outlier,isolation_forest
2026-42411,129201,Cauwayanan Elementary School,REGION XI,DAVAO ORIENTAL,BOSTON,1ST DISTRICT,7.8970114,126.3445294,regionxi_davaooriental,106.418294,99.4,6,4.671876,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-22449,501790,Selinog Integrated School,REGION IX,DAPITAN CITY,BAYLIMANGO,1ST DISTRICT,8.851198,123.420222,regionix_dapitan,23.793229,98.36,0,5.917815,TRUE,isolation_forest_outlier,isolation_forest
2026-27233,115009,Dionela Primary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,11.8558507,121.494877,regionvi_antique,132.753941,96.1,4,12.504802,TRUE,isolation_forest_outlier,isolation_forest
2026-42873,129606,Datu Salumay ES,REGION XI,DAVAO CITY,MARILOG,3RD DISTRICT,7.480219,125.24869,regionxi_davao,60.298455,98.63,5,5.078792,TRUE,isolation_forest_outlier,isolation_forest
2026-35680,121683,Templanza Elementary School,REGION VIII,LEYTE,MATALOM NORTH,5TH DISTRICT,10.27931,124.84733,regionviii_leyte,92.621246,98.44,16,6.121304,TRUE,isolation_forest_outlier,isolation_forest
2026-24106,301996,Mansalaya National High School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.9605317,122.638217,regionv_camarinessur,80.975154,98.82,6,6.223623,TRUE,isolation_forest_outlier,isolation_forest
