iern,school_id,linear_distance_km
2026-21974,196521,50.186439
2026-33550,119176,4.784203
2026-15326,106317,23.680887
2026-13739,502382,18.293414
2026-13256,157511,43.345836
2026-43017,129699,4.487258
2026-12153,300556,11.545905
2026-40871,304119,4.842846
2026-15856,301024,13.22372
2026-03434,132354,25.885021
2026-06354,111235,174.216997
2026-05821,111045,315.22526
2026-16022,106943,42.0282
2026-05056,170020,61.452906
2026-34450,120417,13.970607
2026-10921,102793,100.791871
2026-06210,170510,80.383208
2026-05410,110615,26.336308
2026-01700,319116,27.120936
2026-06290,110993,338.698005
2026-45139,130931,34.317112
2026-19773,109766,0.974336
2026-30678,117053,9.292331
2026-14326,105464,31.236907
2026-16172,107040,4.726099
2026-34285,120130,17.15316
2026-23469,112102,4.970017
2026-07131,136614,11.200923
2026-17604,107928,11.152303
2026-10684,102533,29.773419
2026-45160,500717,38.563972
2026-35273,121340,43.644621
2026-36833,122766,31.570211
2026-10867,306421,12.897775
2026-03661,132669,32.549626
2026-07817,100183,20.956341
2026-42703,316213,16.269635
2026-42146,128907,25.500633
2026-10931,102801,17.286076
2026-13074,105726,12.392826
2026-13489,104723,22.001353
2026-10292,102296,1.739164
2026-28776,116210,111.96609
2026-40723,127600,34.786835
2026-33918,312966,56.479157
2026-15289,106040,14.379981
2026-37457,122928,68.657519
2026-41628,128432,35.753081
2026-25142,113381,23.604601
2026-31769,118726,69.041059
2026-17287,107639,2.113621
2026-39956,127207,51.570911
2026-25260,302124,12.868727
2026-38473,124205,6.404436
2026-08919,101206,32.979854
2026-15004,106112,13.608919
2026-36155,122056,59.425889
2026-44715,130474,45.338385
2026-01973,136285,46.540389
2026-44869,130740,39.451776
2026-28255,115905,20.796241
2026-40015,200534,27.700571
2026-00477,134977,23.58512
2026-09025,101287,35.791596
2026-19325,109489,13.096348
2026-11312,102521,28.260677
2026-43202,129809,10.237787
2026-04100,132641,7.046925
2026-07800,100170,46.374866
2026-42819,129566,21.54323
2026-02784,131988,18.156904
2026-36988,123164,52.133422
2026-25303,113521,53.235372
2026-21064,124836,173.301382
2026-43481,302772,11.10673
2026-00753,135210,21.978473
2026-37406,123033,42.840592
2026-32333,119221,40.28137
2026-07087,305362,4.379842
2026-40697,501318,26.732272
2026-31305,118318,46.668833
2026-10914,102786,101.675698
2026-26768,114626,28.279
2026-44921,130780,20.489185
2026-35230,121303,26.949088
2026-10599,102422,24.076049
2026-33797,312920,12.034096
