region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,psds_need,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
Region IX,Sulu,M,84,151255,3598,458,,10,15,5,,,,,,,,,,,225,233,16,6.0531173,121.0007633,regionix_sulu
CAR,Baguio City,M,84,"60,086","2,441",87,2066,10,3,-7,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"7,946,196.00",45,42,3,16.4030385,120.6044357,car_baguio
Region I,Alaminos City,S,61,22121,910,56,949,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,920,695.00",45,11,1,16.1448779,119.9899546,regioni_alaminos
Region I,Batac City,S,61,8825,431,36,495,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,002,035.00",30,6,0,18.0707502,120.5848245,regioni_batac
Region I,Candon City,S,61,11998,569,42,567,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,253,775.00",30,12,1,17.1656592,120.4414933,regioni_candon
Region I,Dagupan City,M,84,34978,1423,50,1173,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,046,453.00",60,-10,-1,16.0422413,120.3331498,regioni_dagupan
Region I,Ilocos Norte,M,84,80133,4246,433,5804,10,20,10,2,Province,,"2,400,000","3,120",1430,143,8,12000,"12,301,776.00",300,133,9,18.20506,120.5941444,regioni_ilocosnorte
Region I,Ilocos Sur,M,84,102538,5326,603,6240,10,23,13,2,Province,,"2,400,000","3,120",1430,143,8,12000,"14,618,164.00",345,258,17,17.5769301,120.3907861,regioni_ilocossur
Region I,La Union,M,84,130715,6131,503,6175,10,22,12,2,Province,,"2,400,000","3,120",1430,143,8,12000,"15,673,435.00",330,173,12,16.6198806,120.3276363,regioni_launion
Region I,Laoag City,S,61,20946,951,50,1317,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,003,829.00",45,5,0,18.1950211,120.5917627,regioni_laoag
Region I,"Pangasinan I, Lingayen",L,142,298878,12919,839,11923,33,31,-2,3,Province,,"2,400,000","3,120",1430,143,8,12000,"29,291,863.00",465,374,25,16.0320816,120.2331212,regioni_pangasinanilingayen
Region I,"Pangasinan II, Binalonan",L,142,237286,10397,718,10398,33,32,-1,3,Province,,"2,400,000","3,120",1430,143,8,12000,"24,597,072.00",480,238,16,16.0527526,120.5882196,regioni_pangasinaniibinalonan
Region I,Urdaneta City,M,84,31360,1341,92,1177,10,2,-8,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,031,861.00",30,62,4,15.9778108,120.5632534,regioni_urdaneta
Region I,Vigan City,S,61,13990,680,25,591,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,378,833.00",45,-20,-1,17.5755487,120.3872632,regioni_vigan
Region II,Batanes,S,61,3914,426,38,433,0,5,5,1,Province,,"2,400,000","3,120",1430,143,8,12000,"3,952,971.00",75,-37,-2,20.4507421,121.9713786,regionii_batanes
Region II,Cagayan,L,142,231802,10847,958,11296,33,49,16,3,Province,,"2,400,000","3,120",1430,143,8,12000,"26,073,914.00",735,223,15,17.6547824,121.7457222,regionii_cagayan
Region II,Cauayan City,S,61,33464,1315,96,1204,0,5,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,751,854.00",75,21,1,16.9290524,121.7330415,regionii_cauayan
Region II,City of Ilagan,S,61,33556,1492,122,1567,0,6,6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,138,729.00",90,32,2,17.1439812,121.887014,regionii_ilagan
Region II,Isabela,L,142,259796,11955,1071,11895,33,43,10,4,Province,,"2,400,000","3,120",1430,143,8,12000,"28,320,523.00",645,426,28,17.1439812,121.8870140,regionii_isabela
Region II,Nueva Vizcaya,M,84,105493,4681,445,4982,10,23,13,1,Province,,"2,400,000","3,120",1430,143,8,12000,"13,046,600.00",345,100,7,16.4801097,121.145374,regionii_nuevavizcaya
Region II,Quirino,M,84,46299,2367,259,2417,10,8,-2,1,Province,,"2,400,000","3,120",1430,143,8,12000,"8,316,913.00",120,139,9,16.5131928,121.5222792,regionii_quirino
Region II,Santiago City,S,61,30482,1103,61,1005,0,4,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,287,181.00",60,1,0,16.6847666,121.5514791,regionii_santiago
Region II,Tuguegarao City,M,84,33916,1358,51,1169,10,4,-6,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,947,555.00",60,-9,-1,17.6341708,121.7269417,regionii_tuguegarao
Region III,Angeles City,M,84,87531,3147,74,2301,10,4,-6,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,168,381.00",60,14,1,15.1362624,120.594511,regioniii_angeles
Region III,Aurora,M,84,53736,2446,220,2754,10,8,-2,1,Province,,"2,400,000","3,120",1430,143,8,12000,"8,415,890.00",120,100,7,16.0474764,121.6700916,regioniii_aurora
Region III,Balanga City,S,61,25503,934,35,936,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,914,692.00",30,5,0,14.6813961,120.546409,regioniii_balanga
Region III,City of Baliwag,M,84,159236,5587,275,787,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"13,641,839.00",45,230,15,14.9549257,120.8915418,regioniii_baliwag
Region III,Bataan,M,84,451354,15545,597,5948,10,12,2,2,Province,,"2,400,000","3,120",1430,143,8,12000,"31,961,386.00",180,417,28,14.7280818,120.5228374,regioniii_bataan
Region III,Bulacan,L,142,57037,2011,84,13221,33,23,-10,4,Province,,"2,400,000","3,120",1430,143,8,12000,"9,588,709.00",345,-261,-17,14.8554468,120.8160945,regioniii_bulacan
Region III,Cabanatuan City,M,84,26273,943,33,1655,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,306,299.00",60,-27,-2,15.4903343,120.9753701,regioniii_cabanatuan
Region III,Gapan City,S,61,127572,4088,80,846,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"10,368,994.00",30,50,3,15.3084516,120.9474323,regioniii_gapan
Region III,Mabalacat City,S,61,28765,1129,52,1339,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,330,307.00",45,7,0,15.2441214,120.5644379,regioniii_mabalacat
Region III,Malolos City,M,84,50086,1865,64,1310,10,2,-8,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,862,648.00",30,34,2,14.8535363,120.8107255,regioniii_malolos
Region III,Meycauayan City,S,61,42242,1702,70,1039,0,2,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,270,773.00",30,40,3,14.7533041,120.9637122,regioniii_meycauayan
Region III,Science City of Muñoz,S,61,35238,1155,44,907,0,1,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,332,535.00",15,29,2,15.7210193,120.8898994,regioniii_sciencecitymuoz
Region III,Nueva Ecija,L,142,324789,13177,913,13352,33,30,-3,4,Province,,"2,400,000","3,120",1430,143,8,12000,"30,303,318.00",450,463,31,15.7330203,120.9316058,regioniii_nuevaecija
Region III,Olongapo City,M,84,46953,1861,51,1515,10,4,-6,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"6,820,619.00",60,-9,-1,14.84984,120.2928418,regioniii_olongapo
Region III,Pampanga,L,142,330210,12685,692,12023,33,33,0,4,Province,,"2,400,000","3,120",1430,143,8,12000,"28,763,559.00",495,197,13,15.0297869,120.6876474,regioniii_pampanga
Region I,San Fernando City,S,61,20193,882,51,716,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,816,312.00",30,21,1,16.6158806,120.3236363,regioni_sanfernando
Region III,San Fernando City,M,84,63919,2570,91,1776,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,132,340.00",45,46,3,15.0603960,120.6469397,regioniii_sanfernando
Region III,San Jose City,S,61,32214,1170,71,1235,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,460,937.00",30,41,3,15.7990725,120.966479,regioniii_sanjose
Region III,City of San Jose Del Monte,M,84,18773,810,51,2485,10,2,-8,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,230,959.00",30,21,1,14.8080936,121.0395114,regioniii_sanjosedelmonte
Region III,Tarlac,L,142,243166,9392,617,8723,33,28,-5,3,Province,,"2,400,000","3,120",1430,143,8,12000,"22,652,317.00",420,197,13,15.4831532,120.5897344,regioniii_tarlac
Region III,Tarlac City,M,84,65707,2365,120,2257,10,9,-1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,012,757.00",135,-15,-1,15.4751798,120.6070360,regioniii_tarlac
Region III,Zambales,M,84,142220,5672,420,6315,10,15,5,2,Province,,"2,400,000","3,120",1430,143,8,12000,"14,870,165.00",225,195,13,15.3228137,119.9832776,regioniii_zambales
Region IV-A,Antipolo City,M,84,176473,5658,86,3098,10,7,-3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"13,622,058.00",105,-19,-1,14.5905459,121.1835413,iva_antipolo
Region IV-A,Bacoor City,S,61,82645,2868,43,1659,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,265,797.00",30,13,1,14.4308782,120.9686275,iva_bacoor
Region IV-A,Batangas,L,142,350540,13997,797,13547,33,33,0,4,Province,,"2,400,000","3,120",1430,143,8,12000,"31,347,891.00",495,302,20,13.7606326,121.0636921,iva_batangas
Region IV-A,Batangas City,M,84,60797,2416,125,2524,10,7,-3,3,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,100,188.00",105,20,1,13.7595296,121.0632701,iva_batangas
Region IV-A,Binan City,M,84,62250,2089,44,1557,10,1,-9,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,253,201.00",15,29,2,14.3362641,121.0821667,iva_binan
Region IV-A,Cabuyao City,M,84,58395,1900,35,1304,10,5,-5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,887,832.00",75,-40,-3,14.2533455,121.1400738,iva_cabuyao
Region IV-A,City of Calaca,S,61,19066,642,38,838,0,1,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,440,982.00",15,23,2,13.9330687,120.8106088,iva_calaca
Region IV-A,Calamba City,M,84,102849,3274,90,2459,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,545,049.00",45,45,3,14.1948634,121.160827,iva_calamba
Region IV-A,Cavite,L,142,403665,12490,376,9134,33,20,-13,4,Province,,"2,400,000","3,120",1430,143,8,12000,"27,673,302.00",300,76,5,14.2784643,120.8676613,iva_cavite
Region IV-A,Cavite City,S,61,18977,876,16,697,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,686,087.00",45,-29,-2,14.4811000,120.8972000,iva_cavite
Region IV-A,City of Carmona,S,61,18879,634,11,577,0,1,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,306,483.00",15,-4,0,14.3130891,121.0537616,iva_carmona
Region IV-A,Dasmarinas City,M,84,119234,4186,50,2446,10,2,-8,3,City,Component City,"2,400,000","3,120",1430,143,8,12000,"10,853,630.00",30,20,1,14.3244335,120.9621757,iva_dasmarinas
Region IV-A,General Trias City,M,84,81794,2206,39,1121,10,2,-8,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,498,915.00",30,9,1,14.3746893,120.8843709,iva_generaltrias
Region IV-A,Imus City,S,61,76012,2605,42,1658,0,2,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,833,380.00",30,12,1,14.4375448,120.9354957,iva_imus
Region IV-A,Laguna,L,142,213812,8115,392,7189,33,20,-13,4,Province,,"2,400,000","3,120",1430,143,8,12000,"19,670,013.00",300,92,6,14.2765249,121.419112,iva_laguna
Region IV-A,Lipa City,M,84,76570,2578,107,2724,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,430,472.00",60,47,3,13.9425195,121.157521,iva_lipa
Region IV-A,Lucena City,M,84,52865,1775,61,1402,10,4,-6,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"6,759,976.00",60,1,0,13.9346302,121.6070061,iva_lucena
Region IV-A,Quezon,VL,196,427620,17352,1165,15190,57,43,-14,4,Province,,"2,400,000","3,120",1430,143,8,12000,"38,793,290.00",645,520,35,13.9627025,121.6543466,iva_quezon
Region IV-A,Rizal,L,142,458366,14837,345,9909,33,19,-14,2,Province,,"2,400,000","3,120",1430,143,8,12000,"31,481,225.00",285,60,4,14.5737415,121.1475638,iva_rizal
Region IV-A,San Pablo City,M,84,58262,2130,92,1968,10,7,-3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,488,460.00",105,-13,-1,14.0715579,121.3229254,iva_sanpablo
Region IV-A,San Pedro City,M,84,51675,1794,31,1160,10,1,-9,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,649,420.00",15,16,1,14.3641874,121.0570748,iva_sanpedro
Region IV-A,Sta. Rosa City,M,84,64029,2043,34,1368,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,143,426.00",45,-11,-1,14.3191033,121.1126258,iva_starosa
Region IV-A,Sto. Tomas City,M,84,35310,1049,33,903,10,2,-8,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,422,639.00",30,3,0,13.7544563,121.0531305,iva_stotomas
Region IV-A,Tanauan City,M,84,39230,1434,65,1588,10,10,0,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,202,344.00",150,-85,-6,14.0865988,121.1258532,iva_tanauan
Region IV-A,Tayabas City,S,61,21982,890,48,562,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,810,682.00",30,18,1,14.0004321,121.5694304,iva_tayabas
MIMAROPA,Calapan City,M,84,"31,518","1,326",69,1071,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,924,757.00",45,24,2,13.4146079,121.1793009,mimaropa_calapan
MIMAROPA,Marinduque,M,84,"55,767","2,713",267,3168,10,9,-1,1,Province,,"2,400,000","3,120",1430,143,8,12000,"9,019,790.00",135,132,9,13.4765151,122.0276023,mimaropa_marinduque
MIMAROPA,Occidental Mindoro,M,84,"134,985","5,357",400,4680,10,14,4,1,Province,,"2,400,000","3,120",1430,143,8,12000,"14,065,630.00",210,190,13,13.2192006,120.6052944,mimaropa_occidentalmindoro
MIMAROPA,Oriental Mindoro,M,84,"174,775","7,461",622,7405,10,18,8,2,Province,,"2,400,000","3,120",1430,143,8,12000,"18,474,985.00",270,352,23,13.4049921,121.1769094,mimaropa_orientalmindoro
MIMAROPA,Puerto Princesa City,M,84,"69,948","2,579",124,2107,10,3,-7,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,343,735.00",45,79,5,9.7808779,118.730191,mimaropa_puertoprincesa
MIMAROPA,Palawan,L,142,"253,187","10,341",940,9904,33,35,2,2,Province,,"2,400,000","3,120",1430,143,8,12000,"25,266,198.00",525,415,28,9.4329014,118.5497087,mimaropa_palawan
MIMAROPA,Romblon,M,84,"75,485","3,766",307,3799,10,13,3,1,Province,,"2,400,000","3,120",1430,143,8,12000,"10,898,357.00",195,112,7,12.5758425,122.2699465,mimaropa_romblon
Region V,Albay,L,142,214668,9833,663,8616,33,25,-8,3,Province,,"2,400,000","3,120",1430,143,8,12000,"23,183,182.00",375,288,19,13.1569235,123.729074,regionv_albay
Region V,Camarines Norte,M,84,156832,6118,396,5935,10,14,4,2,Province,,"2,400,000","3,120",1430,143,8,12000,"15,495,621.00",210,186,12,14.1020414,122.9544079,regionv_camarinesnorte
Region V,Camarines Sur,VL,196,431822,18677,1332,15085,57,38,-19,5,Province,,"2,400,000","3,120",1430,143,8,12000,"41,227,681.00",570,762,51,13.5643393,123.2672987,regionv_camarinessur
Region V,Catanduanes,M,84,71789,3591,322,3491,10,20,10,1,Province,,"2,400,000","3,120",1430,143,8,12000,"10,621,295.00",300,22,1,13.8076799,124.2748107,regionv_catanduanes
Region V,Iriga City,S,61,24943,1108,68,1108,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,286,588.00",45,23,2,13.4239548,123.4150441,regionv_iriga
Region V,Legaspi City,M,84,42736,1720,73,1422,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,640,594.00",60,13,1,13.1405051,123.7356369,regionv_legaspi
Region V,Ligao City,M,84,33185,1390,79,1273,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,089,699.00",45,34,2,13.238216,123.542562,regionv_ligao
Region V,Masbate,L,142,215361,10491,890,8175,33,32,-1,3,Province,,"2,400,000","3,120",1430,143,8,12000,"24,774,843.00",480,410,27,12.3730000,123.6310000,regionv_masbate
Region V,Masbate City,M,84,28611,1166,56,893,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,606,687.00",60,-4,0,12.3690583,123.6274969,regionv_masbate
Region V,Naga City,M,84,48522,1856,54,1487,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,831,377.00",60,-6,0,13.6162788,123.1900902,regionv_naga
Region V,Sorsogon,M,84,169565,7811,626,7283,10,20,10,2,Province,,"2,400,000","3,120",1430,143,8,12000,"18,928,839.00",300,326,22,12.9850000,124.0280000,regionv_sorsogon
Region V,Sorsogon City,M,84,45302,1867,107,1194,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,944,808.00",60,47,3,12.9812012,124.0246203,regionv_sorsogon
Region V,Tabaco City,M,84,39158,1653,61,1389,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,474,001.00",60,1,0,13.3359126,123.7360113,regionv_tabaco
Region VI,Aklan,M,84,123883,5941,505,5747,10,19,9,1,Province,,"2,400,000","3,120",1430,143,8,12000,"15,292,115.00",285,220,15,11.7040031,122.3267881,regionvi_aklan
Region VI,Antique,M,84,137856,6591,616,6817,10,22,12,1,Province,,"2,400,000","3,120",1430,143,8,12000,"16,832,729.00",330,286,19,10.7467606,121.9455235,regionvi_antique
Region VI,Capiz,M,84,134384,7033,552,7123,10,18,8,2,Province,,"2,400,000","3,120",1430,143,8,12000,"17,281,091.00",270,282,19,11.5851263,122.7707213,regionvi_capiz
Region VI,Guimaras,M,84,41069,1795,133,1781,10,8,-2,1,Province,,"2,400,000","3,120",1430,143,8,12000,"6,973,045.00",120,13,1,10.5976708,122.5882251,regionvi_guimaras
Region VI,Iloilo,VL,196,430478,19617,1424,19308,57,52,-5,6,Province,,"2,400,000","3,120",1430,143,8,12000,"43,452,058.00",780,644,43,10.7040000,122.5680000,regionvi_iloilo
Region VI,Iloilo City,M,84,75233,2980,85,2649,10,7,-3,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,915,271.00",105,-20,-1,10.7007063,122.5643490,regionvi_iloilo
Region VI,Passi City,S,61,20714,936,59,790,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,933,242.00",30,29,2,11.1043309,122.6438583,regionvi_passi
Region VI,Roxas City,M,84,31074,1277,81,1149,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,899,729.00",45,36,2,11.5850153,122.771055,regionvi_roxas
