region,province,company,sector,industry,longitude,latitude,coordinates
BARMM,Cotabato,"MUSLIM CHAMBER OF COMMERCE & INDUSTRY KUTAWATO, INC.",Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,-88.2035628,41.7112874,"41.7112874,-88.2035628"
CAR,Moutanin Province,DTI-APAYAO CENTER FOR MSMES,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,121.3787131,18.3349727,"18.3349727,121.3787131"
CAR,Abra,BALAWAG FARMERS MULTI-PURPOSE COOPERATIVE,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.35618,17.3792909,"17.3792909,121.35618"
CAR,Benguet,GAWIDAN FARMERS ASSOCIATION,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.2391021,17.40488,"17.40488,121.2391021"
CAR,Ifugao,DTI - IFUGAO (PHIL CHAMBER OF COMMERCE & INDUSTRY-IFUGAO CHAPTER),Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,121.1710389,16.8330792,"16.8330792,121.1710389"
CAR,Benguet,CORDI COFFEE CONSUMERS COOPERATIVE,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.1710389,16.8330792,"16.8330792,121.1710389"
CAR,Apayao,HOJAP MULTI-PURPOSE COOPERATIVE,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0909089,16.7351041,"16.7351041,121.0909089"
CAR,Benguet,CENTER FOR MSMES,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,121.03351,17.0663429,"17.0663429,121.03351"
CAR,Benguet,"EXPEDITEPLUS WAREHOUSING & LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,120.9809941,14.48049175,"14.4804917450446,120.980994119062"
CAR,Benguet,CADAD-ANAN COFFEE GROWERS,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",120.8556366,16.9225415,"16.9225415,120.8556366"
CAR,Benguet,TADIAN MPC,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",120.8154358,16.9660794,"16.9660794,120.8154358"
CAR,Benguet,"MT SUPPLY, INC. PHILIPPINE BRANCH",Transportation,Warehousing and Support Activities for Transportation,120.8039474,16.5577257,"16.5577257,120.8039474"
CAR,IFUGAO,PABLO R. HALILI WATER DRILLING,Utilities,"Water Collection, Treatment and Supply",120.8039474,16.5577257,"16.5577257,120.8039474"
CAR,IFUGAO,"TARA DESIGNS (PHILS), INC.",Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",120.6177208,16.3816812,"16.3816812,120.6177208"
CAR,Kalinga,LTX CORPORATION-PHILIPPINE BRANCH,Transportation,Warehousing and Support Activities for Transportation,120.6177069,16.3813318,"16.3813318,120.6177069"
CAR,Kalinga,"CENTER FOR MSMES (BANGUED ABRA FIL-CHINESE CHAMBER OF COMMERCE & INDUSTRY, INC. (BAFCCCI)",Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,120.6145764,17.6004246,"17.6004246,120.6145764"
CAR,Moutanin Province,"CEVA WAREHOUSING AND DISTRIBUTION, INC.",Transportation,Warehousing and Support Activities for Transportation,120.5936623,16.4164707,"16.4164707,120.5936623"
CAR,Moutanin Province,DTI - CAR REGIONAL OFFICE (PHIL-EXPORT-CAR),Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,120.592493,16.4139804,"16.4139804,120.592493"
CAR,Benguet,DTI BAGUIO-BENGUET OFFICE (PHIL. CHAMBER OF COMMERCE& INDUSTRY-BAGUIO),Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,120.5918732,16.4120134,"16.4120134,120.5918732"
CARAGA,Agusan del Norte,SOWREAP CORP,Transportation,Warehousing and Support Activities for Transportation,126.2131114,9.0425298,"9.0425298,126.2131114"
CARAGA,Agusan del Sur,SOWREAP CORP,Transportation,Warehousing and Support Activities for Transportation,126.2131114,9.0425298,"9.0425298,126.2131114"
CARAGA,Agusan del Norte,DEPARTMENT OF TRADE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,126.1144758,8.5404906,"8.5404906,126.1144758"
CARAGA,Surigao del Norte,DEPARTMENT OF TRADE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,125.9788113,8.5010577,"8.5010577,125.9788113"
CARAGA,Surigao del Sur,CROSSING BAYUGAN 3 OPERATORS AND DRIVERS MULTI- PURPOSE COOPERATIVE,Retail,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles,125.9696657,8.3068135,"8.3068135,125.9696657"
CARAGA,Dinagat Islands,GREENPINE AGRICULTURAL DEVELOPMENT CORPORATION,Transportation,Warehousing and Support Activities for Transportation,125.6104952,8.9817997,"8.9817997,125.6104952"
CARAGA,Agusan del Norte,GREENPINE AGRICULTURAL DEVELOPMENT CORPORATION,Transportation,Warehousing and Support Activities for Transportation,125.6104952,8.9817997,"8.9817997,125.6104952"
CARAGA,Agusan del Norte,DINAGAT PROVINCE CHAMBER OF COMMERCE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,125.6095474,10.1281816,"10.1281816,125.6095474"
CARAGA,Agusan del Norte,AURELIO AND MAHAYAHAY MULTI-PURPOSE COOPERATIVE,Transportation,Warehousing and Support Activities for Transportation,125.5845372,10.0063468,"10.0063468,125.5845372"
CARAGA,Surigao del Sur,DEPARTMENT OF TRADE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,125.543513,8.94486,"8.94486,125.543513"
CARAGA,Dinagat Islands,DEPARTMENT OF TRADE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,125.543513,8.94486,"8.94486,125.543513"
CARAGA,Agusan del Norte,"JENTEC STORAGE, INC.",Transportation,Warehousing and Support Activities for Transportation,125.5321326,8.9315924,"8.9315924,125.5321326"
CARAGA,Agusan del Norte,"JENTEC STORAGE, INC.",Transportation,Warehousing and Support Activities for Transportation,125.5321326,8.9315924,"8.9315924,125.5321326"
CARAGA,Agusan del Norte,DEPARTMENT OF TRADE AND INDUSTRY,Professional/Private Services,Activities of Head Offices; Management Consultancy Activities,125.494447,9.789522,"9.789522,125.494447"
CARAGA,Surigao del Sur,LIFEBERG COLD STORAGE,Transportation,Warehousing and Support Activities for Transportation,125.4927777,8.9419144,"8.9419144,125.4927777"
CARAGA,Agusan del Sur,LIFEBERG COLD STORAGE,Transportation,Warehousing and Support Activities for Transportation,125.4927777,8.9419144,"8.9419144,125.4927777"
NCR,Metro Manila,MANZEN AIR & SEA FREIGHT FORWARDING & TRADING,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,"MARIANO F. CASTRO & SONS, INC.",Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,GLOBALINK TRANSPORTATION & LOGISTICS CORP.,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,"JALIEN WORLDWIDE RELOCATION & LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,PRIMESTAR INTERNATIONAL FORWARDING & TRADING CORP.,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,TOTAL SOLUTION FREIGHT & ALLIED SERVICES INC.,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,ARROWPACK MANUFACTURING & LOGISTICS INCORPORATED - WAREHOUSING DIVISION,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,TRI-DEEPSUN MANUFACTURING & LOGISTICS INCORPORATED - WAREHOUSING DIVISION,Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,"JM PROCESSING & FREEZING SERVICES, INC. - BR. II",Transportation,Warehousing and Support Activities for Transportation,NA,NA,"NA,NA"
NCR,Metro Manila,PACIFIC CARGO SERVICES & TRADING CORP.,Transportation,Warehousing and Support Activities for Transportation,153.0854559,-27.437208,"-27.437208,153.0854559"
NCR,Metro Manila,KHATE AND CARL ENTERPRISES,Transportation,Warehousing and Support Activities for Transportation,121.1171312,14.6475985,"14.6475985,121.1171312"
NCR,Metro Manila,KHATE AND CARL ENTERPRISES,Transportation,Warehousing and Support Activities for Transportation,121.1171312,14.6475985,"14.6475985,121.1171312"
NCR,Metro Manila,MULTI-LIFT SALES CORP.,Transportation,Warehousing and Support Activities for Transportation,121.1142551,14.6561649,"14.6561649,121.1142551"
NCR,Metro Manila,"ALAS CARGO PHILIPPINES, INC.",Transportation,Warehousing and Support Activities for Transportation,121.1098747,14.6513191,"14.6513191,121.1098747"
NCR,Metro Manila,ARCTIC COLD REFRIGERATION,Transportation,Warehousing and Support Activities for Transportation,121.1032679,14.5641805,"14.5641805,121.1032679"
NCR,Metro Manila,STRONGHANDS LOGISTICS CORP.,Transportation,Land Transport and Transport Via Pipelines,121.1020284,14.6518106,"14.6518106,121.1020284"
NCR,Metro Manila,"HAVI LOGISTICS PHILIPPINES, INC. (MARIKINA)",Transportation,Warehousing and Support Activities for Transportation,121.1016411,14.6348236,"14.6348236,121.1016411"
NCR,Metro Manila,"HAVI LOGISTICS PHILIPPINES, INC. (MARIKINA)",Transportation,Warehousing and Support Activities for Transportation,121.1016411,14.6348236,"14.6348236,121.1016411"
NCR,Metro Manila,POLAR BEAR FREEZING & STORAGE CORP - TAGUIG,Transportation,Warehousing and Support Activities for Transportation,121.0918457,14.603687,"14.603687,121.0918457"
NCR,Metro Manila,POLAR BEAR FREEZING & STORAGE CORP - MANGGAHAN,Transportation,Warehousing and Support Activities for Transportation,121.0918457,14.603687,"14.603687,121.0918457"
NCR,Metro Manila,POLAR BEAR FREEZING & STORAGE CORP - MANGGAHAN,Transportation,Warehousing and Support Activities for Transportation,121.0918457,14.603687,"14.603687,121.0918457"
NCR,Metro Manila,POLAR BEAR FREEZING & STORAGE CORP - TAGUIG,Transportation,Warehousing and Support Activities for Transportation,121.0918457,14.603687,"14.603687,121.0918457"
NCR,Metro Manila,READYCON TRADING AND CONSTRUCTION CORP.,Transportation,Land Transport and Transport Via Pipelines,121.0909623,14.6044601,"14.6044601,121.0909623"
NCR,Metro Manila,"IGLOO SUPPLY CHAIN PHILIPPINES, INC.",Transportation,Warehousing and Support Activities for Transportation,121.0901165,14.6069391,"14.6069391,121.0901165"
NCR,Metro Manila,"IGLOO SUPPLY CHAIN PHILIPPINES, INC.",Transportation,Warehousing and Support Activities for Transportation,121.0901165,14.6069391,"14.6069391,121.0901165"
NCR,Metro Manila,LBL PRIME PROPERTIES INCORPORATED,Transportation,Warehousing and Support Activities for Transportation,121.0900582,14.6069567,"14.6069567,121.0900582"
NCR,Metro Manila,"JENTEC STORAGE, INC. - MANGGAHAN",Transportation,Warehousing and Support Activities for Transportation,121.0890841,14.606264,"14.606264,121.0890841"
NCR,Metro Manila,"JENTEC STORAGE, INC. - MANGGAHAN",Transportation,Warehousing and Support Activities for Transportation,121.0890841,14.606264,"14.606264,121.0890841"
NCR,Metro Manila,"JENTEC STORAGE, INC. - RAYMUNDO",Transportation,Warehousing and Support Activities for Transportation,121.0885754,14.5847483,"14.5847483,121.0885754"
NCR,Metro Manila,"JENTEC STORAGE, INC. - RAYMUNDO",Transportation,Warehousing and Support Activities for Transportation,121.0885754,14.5847483,"14.5847483,121.0885754"
NCR,Metro Manila,"HIMMEL INDUSTRIES, INC.",Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0872328,14.6129296,"14.6129296,121.0872328"
NCR,Metro Manila,"D & L INDUSTRIES, INC.",Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0865536,14.60446245,"14.6044624526456,121.086553599999"
NCR,Metro Manila,DECKTA PACIFIC EQUITIES INC. COLD STORAGE,Transportation,Warehousing and Support Activities for Transportation,121.0862421,14.5788397,"14.5788397,121.0862421"
NCR,Metro Manila,DECKTA PACIFIC EQUITIES INC. COLD STORAGE,Transportation,Warehousing and Support Activities for Transportation,121.0862421,14.5788397,"14.5788397,121.0862421"
NCR,Metro Manila,A.V.V. CUSTOMS BROKERAGE,Transportation,Warehousing and Support Activities for Transportation,121.0842182,14.6154344,"14.6154344,121.0842182"
NCR,Metro Manila,"QUEEN-S INTERNATIONAL TRADING CO., INC.",Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0840039,14.5906727,"14.5906727,121.0840039"
NCR,Metro Manila,ERNEST LOGISTICS CORP.,Transportation,Warehousing and Support Activities for Transportation,121.0780902,14.6823536,"14.6823536,121.0780902"
NCR,Metro Manila,"SHOGUN SHIPS CO., INC.",Transportation,Water Transport,121.0698894,14.5678367,"14.5678367,121.0698894"
NCR,Metro Manila,"SHOGUN SHIPS CO., INC.",Transportation,Water Transport,121.0698894,14.5678367,"14.5678367,121.0698894"
NCR,Metro Manila,"SHOGUN SHIPS CO., INC.",Transportation,Water Transport,121.0698894,14.5678367,"14.5678367,121.0698894"
NCR,Metro Manila,"ONE STOP WAREHOUSING SOLUTIONS, INC.",Transportation,Warehousing and Support Activities for Transportation,121.0651083,14.5595329,"14.5595329,121.0651083"
NCR,Metro Manila,"ONE STOP WAREHOUSING SOLUTIONS, INC.",Transportation,Warehousing and Support Activities for Transportation,121.0651083,14.5595329,"14.5595329,121.0651083"
NCR,Metro Manila,HORNETT GLOBAL LOGISTIC CORP.,Transportation,Warehousing and Support Activities for Transportation,121.0639306,14.5541852,"14.5541852,121.0639306"
NCR,Metro Manila,ADVANCED FORWARDING & BROKERAGE INC.,Transportation,Warehousing and Support Activities for Transportation,121.0636157,14.54949769,"14.549497690195,121.063615651532"
NCR,Metro Manila,FACT SOFTWARE PHILIPPINES,Transportation,Warehousing and Support Activities for Transportation,121.0629256,14.584206,"14.584206,121.0629256"
NCR,Metro Manila,GLOBAL RESTAURANT CONCEPTS INC.,Transportation,Warehousing and Support Activities for Transportation,121.0626224,14.5844353,"14.5844353,121.0626224"
NCR,Metro Manila,GLOBAL RESTAURANT CONCEPTS INC.,Transportation,Warehousing and Support Activities for Transportation,121.0626224,14.5844353,"14.5844353,121.0626224"
NCR,Metro Manila,ROENTGEN SEPARATION TECHNOLOGIE (RTS) INC.,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0617863,14.583052,"14.583052,121.0617863"
NCR,Metro Manila,DAVENBEN ENTERPRISES CORPORATION,Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0615459,14.5875346,"14.5875346,121.0615459"
NCR,Metro Manila,"KEY LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,121.0613343,14.5877513,"14.5877513,121.0613343"
NCR,Metro Manila,"CONNEL BROS. CO. PILIPINAS, INC.",Retail,"Wholesale Trade, Except of Motor Vehicles and Motorcycles",121.0600466,14.5854481,"14.5854481,121.0600466"
