region,division,position,classification,status,number
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher I,School Head Positions,Filled,249
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher II,School Head Positions,Filled,149
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher III,School Head Positions,Filled,86
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher IV,School Head Positions,Filled,40
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher V,School Head Positions,Filled,32
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher VI,School Head Positions,Filled,7
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal I,School Head Positions,Filled,62
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal II,School Head Positions,Filled,56
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal III,School Head Positions,Filled,40
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal IV,School Head Positions,Filled,59
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal II,School Head Positions,Filled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal III,School Head Positions,Filled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher I,School Head Positions,Unfilled,26
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher II,School Head Positions,Unfilled,13
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher III,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher IV,School Head Positions,Unfilled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher V,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher VI,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal I,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal II,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal III,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal II,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal III,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher I,School Head Positions,Filled,255
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher II,School Head Positions,Filled,150
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher III,School Head Positions,Filled,109
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher IV,School Head Positions,Filled,72
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher V,School Head Positions,Filled,53
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher VI,School Head Positions,Filled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal I,School Head Positions,Filled,103
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal II,School Head Positions,Filled,94
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal III,School Head Positions,Filled,65
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal IV,School Head Positions,Filled,36
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal II,School Head Positions,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal III,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher I,School Head Positions,Unfilled,26
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher II,School Head Positions,Unfilled,15
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher III,School Head Positions,Unfilled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher IV,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher V,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher VI,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal I,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal II,School Head Positions,Unfilled,2
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal III,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal III,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher I,School Head Positions,Filled,340
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher II,School Head Positions,Filled,154
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher III,School Head Positions,Filled,82
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher IV,School Head Positions,Filled,31
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher V,School Head Positions,Filled,21
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher VI,School Head Positions,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal I,School Head Positions,Filled,124
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal II,School Head Positions,Filled,62
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal III,School Head Positions,Filled,38
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal IV,School Head Positions,Filled,39
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal II,School Head Positions,Filled,11
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal III,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher I,School Head Positions,Unfilled,21
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher II,School Head Positions,Unfilled,18
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher III,School Head Positions,Unfilled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher IV,School Head Positions,Unfilled,2
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher V,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher VI,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal I,School Head Positions,Unfilled,9
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal II,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal III,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal III,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher I,School Head Positions,Filled,71
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher II,School Head Positions,Filled,37
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher III,School Head Positions,Filled,19
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher IV,School Head Positions,Filled,7
