region,division,position_description,category,plantilla_position,personnel_count
National Capital Region (NCR),Division of Manila,Guidance Counselor III,Related-Teaching Personnel,Unfilled,149
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Senior Education Program Specialist,Related-Teaching Personnel,Filled,138
Region VI - Western Visayas,Division of Iloilo,Guidance Counselor II,Related-Teaching Personnel,Unfilled,97
Region VII - Central Visayas,Division of Cebu Province,Guidance Counselor II,Related-Teaching Personnel,Unfilled,86
Region I - Ilocos,Division of Pangasinan I,Guidance Counselor II,Related-Teaching Personnel,Unfilled,74
Region VIII - Eastern Visayas,Division of Leyte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,68
Negros Island Region (NIR),Division of Negros Occidental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,66
Region III - Central Luzon,Division of Bulacan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,65
Negros Island Region (NIR),Division of Negros Occidental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,63
Negros Island Region (NIR),Division of Negros Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,62
Region III - Central Luzon,Division of Pampanga,Guidance Counselor II,Related-Teaching Personnel,Unfilled,60
Region III - Central Luzon,Division of Nueva Ecija,Guidance Counselor II,Related-Teaching Personnel,Unfilled,59
Region VII - Central Visayas,Division of Cebu Province,Public Schools District Supervisor,Related-Teaching Personnel,Filled,58
Region IVA - CALABARZON,Division of Quezon,Public Schools District Supervisor,Related-Teaching Personnel,Filled,57
Region V - Bicol,Division of Camarines Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,57
National Capital Region (NCR),Division of Quezon City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,55
Region VI - Western Visayas,Division of Iloilo,Public Schools District Supervisor,Related-Teaching Personnel,Filled,55
Region V - Bicol,Division of Camarines Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,55
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Supervising Education Program Specialist,Related-Teaching Personnel,Filled,52
Region V - Bicol,Division of Albay,Guidance Counselor II,Related-Teaching Personnel,Unfilled,52
Region VII - Central Visayas,Division of Bohol,Guidance Counselor II,Related-Teaching Personnel,Unfilled,50
Region IVA - CALABARZON,Division of Cavite,Guidance Counselor II,Related-Teaching Personnel,Unfilled,49
Region I - Ilocos,Division of Pangasinan II,Guidance Counselor II,Related-Teaching Personnel,Unfilled,49
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,48
Region III - Central Luzon,Division of Tarlac,Guidance Counselor II,Related-Teaching Personnel,Unfilled,47
Region XII - SOCCSKSARGEN,Division of Cotabato,Guidance Counselor II,Related-Teaching Personnel,Unfilled,42
Region VIII - Eastern Visayas,Division of Leyte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,42
Region V - Bicol,Division of Masbate,Guidance Counselor II,Related-Teaching Personnel,Unfilled,41
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor II,Related-Teaching Personnel,Unfilled,40
Region VI - Western Visayas,Division of Capiz,Guidance Counselor II,Related-Teaching Personnel,Unfilled,39
Region VI - Western Visayas,Division of Iloilo,Registrar I,Related-Teaching Personnel,Filled,39
Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,39
Region IVB - MIMAROPA,Division of Palawan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,38
Region IVA - CALABARZON,Division of Batangas,Guidance Counselor II,Related-Teaching Personnel,Unfilled,38
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Senior Education Program Specialist,Related-Teaching Personnel,Unfilled,37
Region X - Northern Mindanao,Division of Bukidnon,Guidance Counselor II,Related-Teaching Personnel,Unfilled,35
